full_text,Label
@JaPrist @Ali_van_Jibril @geloraco @cakimiNOW @deaboy1 @bocahedewe43 gak bisa si imin cuma utk syarat bisa ikut pilpres aja. si cebong imin ya pasti bakal kita pecat bong. Anies menang cebong musnah..,NEGATIF
@jokowi Kenapa gak ngikutin Anies? tau sendiri jawabanya.,NEGATIF
@AdheOktama @ZulkifliLubis69 @aniesbaswedan Gw warga jakarta gw tau yg terjadi di jakarta jaman Ahok sm jaman Anies. Kalo mau jawaban coba cari tau sendiri research ke pedagang2 kecil yg nyari duit recehan susah2 trus abis diangkutin dagangannya sm Satpol PP. Liat warga kampung Aquarium yg digusurin rumahnya.,NEGATIF
@ubayyyyyyyz @ArwinAgaaqsa @PSSI Pake kata² visoner emak lo no masak SAYUR lodeh di angetin lagi LAGU TAI BAHASA LO stadion mana bandung? itu dah lama renovasi JIS baru brp minggu emng di ganti rumput langsung pake?? Peserta aja ga ad yg komplen pendukung anis yg bacot . Politik TAI LEDIG,NEGATIF
@NdiTNB @BahasaHati6 @Darkie72006006 @KPK_RI @xquitavee @GabusKnight_13 Kowe kie goblok kalian serang jokowi yang UNTUNG ANIES MUHAIMIN. WKWKWK,POSITIF
@Arti_SebuahRasa Kalo komedi udah ngelewatin batas dan dilakukan di acara Anies Baswedan ya jelas keterlaluan. Jangan main-main dengan sensitivitas agama,NEGATIF
@DPP_PKB @aniesbaswedan @cakimiNOW Misi ke-5 Mas Anies @aniesbaswedan Gus Imin @cakimiNOW (AMIN) adalah mewujudkan insan yang sehat cerdas dan sejahtera. #AMINPeduliPerempuan #AniesMuhaimin2024,POSITIF
@LensaHijau09 @Dennysiregar7 @feroferraferri @ganjarpranowo Mirip Anies Baswedan ya versi nasionalis,POSITIF
@PartaiSocmed @cakimiNOW Sumpah gw yang awam politik menurut gw pasangan anies imin emang harus tersingkir di putaran 1 terlalu banyak isu negatif dan apalagi pendukungnya kaum radikal semua kasian non muslim di negeri ini,NEGATIF
@tvOneNews Orang gak guna ya anies ini...terlalu tinggi tapi otak gak sampe acara janji2 mulu liat noh jakarta aja gak becus klo orang ini jadi presiden brati banyak orang indo yang sakit dan gak lihat fakta...ya Allah berikan negara ini pemimpin yang berakal dan punya kemampuan.,NEGATIF
@arfakevin16 @PartaiSocmed @Adityaandra11 Gwe bisa bilang 15 yg berhasil karena gwe ngebaca njir itu yg jadi judulnya 12 program Anis yg di respon jelek maksut gwe sekarang gantian tunjukkan artikel yg lain dengan judul yg 15 keberhasilan anis.,POSITIF
Retorika yang menghancurkan harapan.  ,NEGATIF
@rahmimimi Agree. Bullshit anies. Reklamasi pajak nya kemana? Normalisasi di stop. Jalur sepeda gagal.,NEGATIF
@Ndons_Back @99propaganda @bengkeldodo @AditBandit234 @are_inismyname @Bank_Joee_ @BANGSAygSUJUD @Alie_Fahnoor @AndreasSolusi Inilah yang saya kurang sreg dengan @aniesbaswedan . Kok bisa ya di arena debat presiden yang dilihat jutaan orang tidak recheck dulu sebelum menyampaikan ??? Capres Republik Indonesia lho !!! Hoeeee Nies Anies !!!,NEGATIF
@Dennysiregar7 Baru nyadar ya..dulu getol giring opini tangkap pak anies.ini bukti baik dan buruk itu akan mendapat karmanya sendiri .dan kamu yakin apa yg kamu lakukan akan di posisi atas terus..tunggu waktu.,NEGATIF
@DPP_PKB @aniesbaswedan @cakimiNOW Untuk memastikan kebutuhan masyarakat terpenuhi Mas Anies @aniesbaswedan dan Gus Imin @cakimiNOW sepakat bahwa birokrasi bersih profesional dan melayani penting untuk segera diwujudkan #BirokrasiBersihAMIN #AniesMuhaimin2024 #riyulimakkarennu,POSITIF
@PDemokrat Kabur dari Anies Baswedan karena dikhianati eh malah mendukung pengkhianat,NEGATIF
@geministuffs @jesswjk @AdorkableRacer Sebagai orang yang pernah daerah tempat tinggalnya dipimpin jokowi ahok dan anies selalu bingung dengan butanya kelompok ahok. Like ahok never wrong and anies always ga becus. Mentality fans ahok ini ga beda dengan pemuja riziek.,NEGATIF
@KompasTV Haaaaaaa yg buat Label kan anies sendiri di pilgub Dki.,POSITIF
@OposisiCerdas Kami sekeluarga besar bersama rekan2 yg ingin perubahan menuju yg lebih baik di KUDUS JATENG sudah yakin dng pilihan kami yaitu bp.ANIES BASWEDAN &amp bp.MUHAIMIN insya ALLAH...,POSITIF
@kompascom Siap Pak Jok Saya Akan Memilih Pemimpin Yang Benar...Yaitu Bapak Anies Baswedan,POSITIF
@mihrabku abah aos all in anies. kmrin jamaahnya datang ke desak anies Jakarta. sampe beli ambulance buat kampanye amien,POSITIF
@Mdy_Asmara1701 Saran dong buat @Metro_TV untuk pertanyaan di acara desak anies. Untuk menghindari pertanyaan yg berulang2 dari audiens. Karena jgn sampai ada isu lain yg tdk kalah penting dan bisa diungkap tapi tertutup dgn pertanyaan yg itu2 lagi. Walau jawabannya pun tetap konsisten,POSITIF
@KompasTV Semoga kalah pak.. InshaAllah hormat bapak untuk pak Anies..,POSITIF
@PartaiSocmed Gausa ngotot jadi presiden deh bapak @MikaelRisanka Anies DebatCapres tegaslugasgemoy,POSITIF
"Anies, jangan hanya pandai berbicara, tapi tunjukkan hasil nyata untuk Jakarta!  ",NEGATIF
@voiceofpkb @aniesbaswedan @cakimiNOW @ninikwafiroh Anies Baswedan kepedulian Anda terhadap kesejahteraan masyarakat benar-benar menginspirasi. Kagum dengan kebijakan-kebijakan yang menciptakan dampak positif!,POSITIF
@aniesmania Pokoknya kalau gak milih pak Anies Baswedan sangatlah rugi beliau cerdas pintar berwibawa dan insya Allah amanah serta akhlaknya baik terpelajar dan yang jelas ijazahnya asli pokoknya beliau paket kumplit.,POSITIF
@TsamaraDKI Bpk ANIES sudah melakukan pemerataan di seluruh Jakarta.,POSITIF
kl ak tmnnya Anies Baswedan kyknya ak ga bacot di twitter dh soalnya kl sambat atau curhat lgsg dpt solusi,POSITIF
@UbahBareng JAKARTA AJA KENA TATAKATA (BUKAN TATAKOTA) CUKUP JKT 58 AJA YG JD KORBAN TATAKATA NYA ANIES!!! PRESTASI ANIES DI JAKARTA APAAN??,NEGATIF
@FDonghun Oh keren . Kerja Nyata itu sudah dicontohkan oleh Anies Baswedan. Kerja nyata itu dilakukannya dengan bertanggung jawab tuntas dan berkomitmen penuh tak berbuai bujuk rayu berhenti ditengah jalan. Semua akan AM1N pada waktunya.,POSITIF
@Muhammad_Saewad Secara Prestasi dan Pemikiran Anies Baswedan Lebih baik drpd Genjer Jadi pilih ANIES BASWEDAN lah #AMINAjaDulu #AMINkanIndonesia,POSITIF
@Zaarazhar PKS dia lebih baik biar Anies yg bicara'...,POSITIF
@geloraco masi sakit hati karena ahoag kalah dari anis mereka bikin UU baru biar gub dki langsung dipilih presiden. wess gemblung edaaan kabeh iki nek tenanan,NEGATIF
@7cb7751dfec5439 @FajarIm04788567 @FSutalaksana @ChuckMonth @muchlis_ar Orang goblok emang. Anies dianggap punya utang saat nyagub. Emang duitnya dipakai anies pribadi? Kan ada perjanjiannya dianggap lunas kalau menang. Sekarang @sandiuno jadi gelandangan politik..,POSITIF
@Tan_Mar3M Ga perlu ngurusi orang lain fokus aja dengan AMIN. Lagian Anies tidak perlu buzzer merusak. Kalo beneran dukung AMIN ga perlu jatuhin satu sama lain. Anies-Imin n Timnasnya punya banyak kelebihan yg bisa disampaikan ke Masyarakat,POSITIF
@Muhammad_Saewad Bismillah kami pilih nomor 1. Semoga Allah SWT menjadikan pak Anies dan Gus Imin pemimpin di negeri ini,POSITIF
@Mayapada0812 Anis ini klu bicara itu suka mengabaikan aturan akibatnya kerja nda selesai yg bicara manis dulu,NEGATIF
Dari 3 paslon 6 capres cawapres. Yang masuk akal cuma anies baswedan. Sisanya ada aja ngetroll nya termasuk cak imin,POSITIF
@ganjarpranowo Saya org cilacap pilih anies Baswedan presiden RI 2024 pak,POSITIF
"pak anies hanya bisa Kebijakan yang hanya berjanji tanpa realisasi, tak akan membawa perubahan.",NEGATIF
