"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1724999536152887566","Thu Nov 16 23:58:28 +0000 2023","0","@OnlyFrens Sudah ada Anies Baswedan... Insya Allah unggul di putaran kedua.","1725302345540735308","","OnlyFrens","in","Indonesia","0","2","0","https://twitter.com/tahamaaruf/status/1725302345540735308","194869405","tahamaaruf"
"1725302179412783505","Thu Nov 16 23:57:48 +0000 2023","6","Media Asing The Diplomat Kamis 16/11/2023 terbitkan Survei Pilpres terbaru Prabowo didukung 40 % responden Ganjar Pranowo 27 8% Anies Baswedan 23 7%. https://t.co/NFA8TdM4Ez @ferrybckup21 @Bambangc5563 @pangjaya0855260 @NetizenAku59670 @AB5589RB @DjogdjaKembali @singolodra1945","1725302179412783505","","","in","Jakarta Capital Region, Indone","1","2","0","https://twitter.com/cagubnyinyir2/status/1725302179412783505","1013331201396912128","cagubnyinyir2"
"1725302017797898242","Thu Nov 16 23:57:10 +0000 2023","267","Masih belum yakin dengan kemampuan CaPres Anies Baswedan sebagai WORLD WIDE MAN CLASS ? https://t.co/t4w0OpYKWw","1725302017797898242","https://pbs.twimg.com/ext_tw_video_thumb/1725301941784461312/pu/img/LzXyK3J-VHxgGLZ9.jpg","","in","","1","12","126","https://twitter.com/Putri96960977/status/1725302017797898242","1605760365866160129","Putri96960977"
"1725301629619175602","Thu Nov 16 23:55:37 +0000 2023","1","Co-Kapten Bidang Keumatan Timnas AMIN (Anies baswedan-Muhaimin Iskandar Gus Mahasin atau KH Nasirul Mahasin memastikan adiknya tokoh ulama asal Rembang Jawa Tengah Ahmad Bahauddin Nursalim atau Gus Baha akan mendukung pasangan AMIN. https://t.co/mAwbMsjvIx https://t.co/RGCeZsET82","1725301629619175602","https://pbs.twimg.com/media/F_GAsFEa8AAYEGw.jpg","","in","Bandar","0","0","1","https://twitter.com/BSipoel/status/1725301629619175602","864120370206519297","BSipoel"
"1725300685598855655","Thu Nov 16 23:51:52 +0000 2023","2752","Anies Rasyid Baswedan SE MPP Ph.D SE Universitas Gadjah Mada MPP Uni of Maryland US Ph.D Northern Illinois Uni US Ini namanya Jebolan Universitas Ternama Gelar bisa dg bangga dicantumkan melekat dg nama. Bedakan antara Jebolan dg Jebol. Kalo jebol berarti cuma kursus. https://t.co/qNYz3ouPR1","1725300685598855655","https://pbs.twimg.com/media/F_F_1FnbEAA11rz.jpg","","in","","51","868","825","https://twitter.com/DokterTifa/status/1725300685598855655","1502822366946402304","DokterTifa"
"1725299355622707229","Thu Nov 16 23:48:55 +0000 2023","0","@cnbcindonesia Karya agung dari seorang orang pintar Anies Baswedan","1725299942074503233","","cnbcindonesia","in","","0","0","0","https://twitter.com/ChanSarpiu17696/status/1725299942074503233","1688880558590607360","ChanSarpiu17696"
"1720767836132647311","Thu Nov 16 23:42:56 +0000 2023","0","@rifkis990 @indra_takoer @Hilmi28 @erickthohir @PSSI Ente tau gak sih artinya perubahan itu? Praktek2 semacam itu bakal dibabat habis nanti setelah Anies mjd presiden","1725298438546633121","","rifkis990","in","Central Java, Indonesia","0","2","0","https://twitter.com/andicandesune/status/1725298438546633121","1557250340814069760","andicandesune"
"1725212298569290233","Thu Nov 16 23:41:37 +0000 2023","4","@KUlinnas @tvOneNews Biarkan saja bu @KUlinnas tak usah ditanggapi yang penting untuk periode 2024-2029 nanti Insya Allah presiden kita Bapak Anies Rasyid Baswedan AMIN kan aja dulu","1725298107108434267","","KUlinnas","in","Tangerang, Indonesia","0","1","0","https://twitter.com/Sate_Ketupat/status/1725298107108434267","1473662448905310208","Sate_Ketupat"
"1720767836132647311","Thu Nov 16 23:40:53 +0000 2023","0","@rifkis990 @indra_takoer @Hilmi28 @erickthohir @PSSI Tapi faktanya rumput JIS bikinan Anies jauh lbh bagus drpd rumput renovasi Erik. Sdh tdk terbantahkan kinerja Anies lbh baik drpd Erik tapi pemerintah malu dan gengsi mengakuinya JIS sbg mahakarya anak bangsanya sendiri di bawah kepemimpinan Anies waktu itu bahkan Jokowi pesimis.","1725297921145655654","","rifkis990","in","Central Java, Indonesia","0","1","0","https://twitter.com/andicandesune/status/1725297921145655654","1557250340814069760","andicandesune"
"1724971281622409276","Thu Nov 16 23:36:56 +0000 2023","2","@MojackThePoet @sociotalker Harusnya fair kalau narasinya begitu seharusnya politisi lain oportunis juga nggak cuma Anies aja. Para capres yang lain dan bahkan yg sudah jadi presiden sekalipun menikmati dan memanfaatkan fanatisme pendukungnya. Mereka selalu diam saat kegaduhan antar pendukung terjadi.","1725296925468242420","","MojackThePoet","in","Bogor, Jawa Barat","0","0","0","https://twitter.com/miadhynugraha/status/1725296925468242420","166097457","miadhynugraha"
