"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1725815966402265306","Sat Nov 18 23:55:05 +0000 2023","0","@aniesmania ngga kaget kalo anies yang jadi presiden nanti gaspol pak anies","1726026271719924191","","aniesmania","in","","0","0","0","https://twitter.com/ancarafii/status/1726026271719924191","1706492658095726592","ancarafii"
"1725865907417907484","Sat Nov 18 23:52:04 +0000 2023","1","@muza16335 @GeiszChalifah Kalau anies sdh jadi presiden pssi manut kaya skrng2 aja gmn rumput jis yg sdh bagus malah di ganti gmn sdh tdk ada proyek lagi yg masuk uangnya segala cara pun di lakukan demi uang masuk buat kantong pribadi","1726025510516576288","","muza16335","in","Jakarta Capital Region","0","0","0","https://twitter.com/Munza19M/status/1726025510516576288","1563567103822573568","Munza19M"
"1725861653433156025","Sat Nov 18 23:49:34 +0000 2023","0","@wong_kamfungs @Naz_lira Anies? Ngarep syarat jadi presiden Pribumi jawa bukan orang yaman","1726024883803742581","","wong_kamfungs","in","DKI Jakarta, Indonesia","0","0","0","https://twitter.com/rsucadvfm1ur5/status/1726024883803742581","894801798589894657","rsucadvfm1ur5"
"1725861653433156025","Sat Nov 18 23:45:29 +0000 2023","7","@Naz_lira Saya berpendapat malah jika p Anies di posisi p Jokowi 2016 tidak akan ada KCIC IKN tol darat dan laut bandara mangkrak menteri dari relawan/partai penghapusan subsidi dll. Semua dianalisa secara mendalam dengan melibatkan para ahli dibidangnya. Semoga jadi presiden 2024.","1726023856408948834","","Naz_lira","in","","0","3","0","https://twitter.com/wong_kamfungs/status/1726023856408948834","1604393119494963200","wong_kamfungs"
"1725917780141379959","Sat Nov 18 23:39:16 +0000 2023","0","@KEBUMENinLOVE @P4P4B0W0_2024 @Ndons_Back @are_inismyname @Bank_Joee_ @BANGSAygSUJUD @KhoirilAnwar_ @99propaganda @Lembayung071 @Alie_Fahnoor @alextham878 Yg jdi presiden asal jgn si anies","1726022291421884417","","KEBUMENinLOVE","in","","0","0","0","https://twitter.com/Jefry66570788/status/1726022291421884417","1352200207832907778","Jefry66570788"
"1725869982893084764","Sat Nov 18 23:23:52 +0000 2023","2","@aindraku @rockygerung @aniesbaswedan Kalau Anies gagal jadi presiden bisa jadi 20 tahun ke depan tidak akan muncul capres/presiden se cerdas beliau. Jadi bagi saya sbg rakyat... pilih Anies di 2024...atau hilang kesempatan memiliki presiden terbaik.","1726018415025070358","","aindraku","in","Indonesia","0","0","0","https://twitter.com/DedenFitri/status/1726018415025070358","1665964732573192193","DedenFitri"
"1725868720827125856","Sat Nov 18 23:16:22 +0000 2023","1","@David68159347 @ZulkifliLubis69 Insya Allah Anies Presiden","1726016525671506123","","David68159347","in","","0","1","0","https://twitter.com/bamsoetomo/status/1726016525671506123","1119145779975741440","bamsoetomo"
"1725746728849310193","Sat Nov 18 23:08:43 +0000 2023","0","@tawajkt Rektorat sadis amat. Harus nya bangga punya Alumni yg jd calon presiden. Parah2 udah ketularan zionist yahudi laknatullah. Pada takuy amat sm Anies. Semoga Pak Anies dan Cak Imin selalu dlm lindungan Allah SWT. Aamiin","1726014603082268999","","tawajkt","in","Depok","0","0","0","https://twitter.com/cimote_imut/status/1726014603082268999","136980124","cimote_imut"
"1725906573439201339","Sat Nov 18 23:03:09 +0000 2023","6","@Tjel0up Yang penting Anies Baswedan menang dan diangkat jadi presiden selanjutnya lihat perubahan yang bakal terjadi... Panik gak loe...? Masa nggak...?","1726013199747858716","","Tjel0up","in","","0","1","1","https://twitter.com/julianas17426/status/1726013199747858716","1655108759289737216","julianas17426"
"1725861653433156025","Sat Nov 18 22:13:26 +0000 2023","4","@Naz_lira AMIN..... Makassar memang selalu ditakdirkan jadi pemenang....... bukan hanya menang memiliki presiden berstandar Internasional tapi juga menang Insya Allah memiliki stadion standard Internasional. EWAKO Makassar EWAKO Anies/Imin","1726000689946747318","","Naz_lira","in","","0","0","0","https://twitter.com/Nyom771/status/1726000689946747318","1316234577191399425","Nyom771"
