"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1726199462295724148","Sun Nov 19 23:52:56 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Ribuan kyai kampung &amp; guru ngaji satu suara mendukung pasangan Anies - Muhaimin (AMIN) jadi Presiden &amp; Wakil Presiden 2024. Dlm kesempatan itu Gus Imin juga memohon doa kepada para kiai ulama &amp; masyarakat Probolinggo agar diberikan kelancaran &amp; kemanangan di Pilpres 2024 ini.","1726388117463236877","","DPP_PKB","in","","0","0","0","https://twitter.com/Henz70692163/status/1726388117463236877","1334742750571319296","Henz70692163"
"1726105077503733797","Sun Nov 19 23:51:54 +0000 2023","0","@psi_id all in Anies Baswedan","1726387857223553524","","psi_id","en","","0","0","0","https://twitter.com/Fajrianif10524/status/1726387857223553524","1715195926166568960","Fajrianif10524"
"1726195751909511299","Sun Nov 19 23:46:49 +0000 2023","0","@nahdiyinbersatu Insya Allah dimudahkan semua usaha Mas Anies Baswedan dan GusImin. #AniesMuhaimin2024","1726386576304075070","","nahdiyinbersatu","in","","0","0","0","https://twitter.com/DMaujud/status/1726386576304075070","1663676709407965190","DMaujud"
"1726355187923853644","Sun Nov 19 23:46:17 +0000 2023","25","@VIVAcoid Gini aja Pak... Nanti klu bapak Anies terpilih jadi Presiden minta pertanggungjawaban Lembaga survey yg ada klu mereka tidak bisa mempertanggungjawabkanya Penjarakan mereka Nusa Kambangan.","1726386443436880152","","VIVAcoid","in","","0","5","4","https://twitter.com/SajoAfrizal/status/1726386443436880152","1510937665717551108","SajoAfrizal"
"1725740071486464467","Sun Nov 19 23:45:43 +0000 2023","0","@ihdairah @bengkeldodo @P4P4B0W0_2024 @are_inismyname @bentangnegeri @mimih6mei @alextham878 @virtual_asisten @gtobing2903 @Kimberley_2024 @blontankpoer Awalnya Gubernur Bupati Walkot Camat Lurah/Kades Ketua RW n RT Koor Satu Suara satu KERETA Sekarang ? HOHOHOHO... Ada ke Jakarta Ada ke Solo 2024 Tetap ANIES BASWEDAN","1726386301648433438","","asalbukangemoy","in","","0","0","0","https://twitter.com/FashionIin/status/1726386301648433438","1519252466281623552","FashionIin"
"1726080948142510541","Sun Nov 19 23:42:30 +0000 2023","0","@djohan1957 @BennyHarmanID Sayang... yang di ucapkan pak SBY (bapak bangsa) sangat benar tapi kenapa Demokrat berkoalisi dengan mereka ? (Mf walaupun saya simpatisan Demokrat tapi untuk urusan presiden saya masih condong ke pak Anies) sambil kita lihat perkembangan berikutnya...","1726385493066367261","","djohan1957","in","","0","0","0","https://twitter.com/badrinur1970/status/1726385493066367261","1420246929229766656","badrinur1970"
"1726199462295724148","Sun Nov 19 23:38:05 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Ribuan kyai kampung &amp; guru ngaji 1 suara mndkung psngan Anies - Muhaimin (AMIN) jd Presiden &amp; Wkil Presiden 2024.Dlm kesmptan itu Gus Imin jg mmhon doa kpd pr kiai ulama &amp; msyrkt Probolinggo agr dibrikan kelncrn &amp; kmnngan di Pilpres 2024 ini. #UlamaDukungAMIN #AniesMuhaimin2024","1726384381223449074","","DPP_PKB","in","","0","0","0","https://twitter.com/mukhlis_tamiang/status/1726384381223449074","1531856952724439040","mukhlis_tamiang"
"1726243072777056731","Sun Nov 19 23:07:34 +0000 2023","7","@MinmonPS7 Pemerintahankan kita adalah sistem presidential jd (plesetannya) kalau Presidennya sialan ya siallah kita rakyat seperti sekarang ini. Semoga Anies kalau jadi Presiden akan membawa keadilan dan kemakmuran.","1726376701448593504","","MinmonPS7","in","Indonesia","0","0","0","https://twitter.com/Choi73880267/status/1726376701448593504","950969913178341377","Choi73880267"
"1726196400776753159","Sun Nov 19 23:03:53 +0000 2023","1","@DPP_PKB @aniesbaswedan @cakimiNOW Dalam Ijtima Ulama Mas Anies Baswedan @aniesbaswedan dan Gus Muhaimin Iskandar @cakimiNOW memohon doa restu kepada seluruh kiai dan tokoh nasional yang hadir untuk berkompetisi di Pilpres 2024.","1726375773882495160","","DPP_PKB","in","Baso","0","0","0","https://twitter.com/geniadrianti1/status/1726375773882495160","920472949420843008","geniadrianti1"
"1726206085084962884","Sun Nov 19 23:03:38 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Anies Baswedan dan Gus Muhaimin untuk perubahan Indonesia","1726375711215346107","","DPP_PKB","in","","0","0","0","https://twitter.com/rohayanasty/status/1726375711215346107","1611372193837121537","rohayanasty"
"1726199462295724148","Sun Nov 19 23:01:42 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Aamiin. Semoga Anies Baswedan dan Gus Muhaimin menang","1726375222809666008","","DPP_PKB","in","","0","0","0","https://twitter.com/rohayanasty/status/1726375222809666008","1611372193837121537","rohayanasty"
"1726195751909511299","Sun Nov 19 22:56:23 +0000 2023","0","@nahdiyinbersatu Para Kiyai Ulama satu suara mendukung pasangan Anies - Muhaimin (AMIN) jadi Presiden dan Wakil Presiden 2024. #UlamaDukungAMIN #AniesMuhaimin2024","1726373885162201169","","nahdiyinbersatu","in","","0","0","0","https://twitter.com/BelaIrawati/status/1726373885162201169","1599073655195308034","BelaIrawati"
"1726372179036823797","Sun Nov 19 22:49:36 +0000 2023","0","Rekomendasi berkah ni...Ijtima Ulama dan Tokoh Nasional merekomendasikan pasangan Anies Baswedan dan Muhaimin Iskandar (AMIN) dalam Pilpres 2024. #UlamaDukungAMIN #AniesMuhaimin2024 @cakimiNOW @DPP_PKB Berjiwa Pemimpin","1726372179036823797","","","in","","0","0","0","https://twitter.com/senyummahmudah/status/1726372179036823797","1705682641457156096","senyummahmudah"
"1726099036124631390","Sun Nov 19 22:46:53 +0000 2023","0","@tvOneNews ALLOHUAKBAR INSYAALLAH 2024 ANIES BASWEDAN JADI PRESIDEN DAN MUHAIMIN JADI WAKIL PRESIDEN. AMIN YA ROBBAL ALAMIIN.","1726371493561671755","","tvOneNews","in","","0","0","0","https://twitter.com/UmarSoleh17/status/1726371493561671755","1354654742333427713","UmarSoleh17"
"1726270973505405136","Sun Nov 19 22:39:42 +0000 2023","1","@ekowboy2 ALLOHUAKBAR INSYAALLAH 2024 ANIES BASWEDAN JADI PRESIDEN DAN MUHAIMIN JADI WAKIL PRESIDEN. AMIN YA ROBBAL ALAMIIN.","1726369685451489393","","ekowboy2","in","","0","0","0","https://twitter.com/UmarSoleh17/status/1726369685451489393","1354654742333427713","UmarSoleh17"
"1726202519310025167","Sun Nov 19 22:20:38 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Alhamdulillah Allah Maha Besar Semoga di ijabah do'a kami bersama AMIN presiden kami 2024 mendatang #UlamaDukungAMIN #Anies","1726364890862928374","","DPP_PKB","in","BABUL RAHMAH ACEH TENGGARA","0","0","0","https://twitter.com/ABrampu33909/status/1726364890862928374","1701966924140171266","ABrampu33909"
"1726202519310025167","Sun Nov 19 22:04:31 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Somoga rekomendasi Anies Baswedan dan Gus Muhaimin Iskandar bisa beramanah","1726360832362385783","","DPP_PKB","in","","0","0","0","https://twitter.com/DimanDi52518711/status/1726360832362385783","1597422824154861568","DimanDi52518711"
"1725982677453676883","Sun Nov 19 21:59:23 +0000 2023","1","@KrisyantoOni Ayo kita dukung Pak Anies jd presiden Indonesia biar rasa ketidakadilan lenyap di bumi Indonesia kita putus politik dinasti","1726359539828826436","","KrisyantoOni","in","Semarang Utara 1, Indonesia","0","0","0","https://twitter.com/sadewo77465388/status/1726359539828826436","1565692441126400000","sadewo77465388"
"1726357603561898321","Sun Nov 19 21:51:41 +0000 2023","0","Ijtima Ulama dan Tokoh Nasional merekomendasikan pasangan Anies Baswedan dan Muhaimin Iskandar (AMIN) dalam Pilpres 2024. AMIN ingin perubahan nantinya memprioritaskan keadilan dalam semua kebijakan. #UlamaDukungAMIN #AniesMuhaimin2024 Berjiwa Pemimpin @cakimiNOW @DPP_PKB","1726357603561898321","","","in","","0","0","0","https://twitter.com/lukicaruban/status/1726357603561898321","1643873669729624064","lukicaruban"
"1726061562430144946","Sun Nov 19 21:51:35 +0000 2023","0","@Yurissa_Samosir @AdeDhani9 @aking_adit @Kang_Toniee @NohCeukenohhh @MuhiqR @mustafaagus007 @chaidar_2000 @Putri96960977 @choymarkochoy Semoga mayoritas rakyat Indonesia terbuka pikiran dan hatinya utk pilih calon preaiden yg memilkki kemampuan intelektual yg baik spt Pak Anies","1726357576642891816","","Yurissa_Samosir","in","","0","0","0","https://twitter.com/AveroMutta20655/status/1726357576642891816","1675138913202233352","AveroMutta20655"
"1726196400776753159","Sun Nov 19 21:38:59 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Dalam Ijtima Ulama Mas Anies Baswedan @aniesbaswedan dan Gus Muhaimin Iskandar @cakimiNOW memohon doa restu kepada seluruh kiai dan tokoh nasional yang hadir untuk berkompetisi di Pilpres 2024.","1726354409414881403","","DPP_PKB","in","Manna, Indonesia","0","0","0","https://twitter.com/ratnaindri4sari/status/1726354409414881403","839084358052925440","ratnaindri4sari"
"1726175295563305408","Sun Nov 19 21:36:37 +0000 2023","0","@kompascom Anies laah yg pantas menjadi presiden","1726353809813938395","","kompascom","in","","0","0","0","https://twitter.com/Pratama_1901/status/1726353809813938395","1492496422717227009","Pratama_1901"
"1726199462295724148","Sun Nov 19 21:28:45 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Anies Muhaimin (AMIN) jadi presiden dan wakil presiden 2024.","1726351833701265460","","DPP_PKB","in","","0","0","0","https://twitter.com/Susanto0202/status/1726351833701265460","1560136825837981696","Susanto0202"
"1726195751909511299","Sun Nov 19 20:57:43 +0000 2023","0","@nahdiyinbersatu Semoga kita semua siap memenangkan pasangan Anies Baswedan dan Gus Muhaimin Iskandar di pilpres 2024","1726344021646381433","","nahdiyinbersatu","in","","0","0","0","https://twitter.com/DimanDi52518711/status/1726344021646381433","1597422824154861568","DimanDi52518711"
"1726199462295724148","Sun Nov 19 20:54:18 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Insya Allah Anies Baswedan dan Gus Muhaimin menjadi pemenang di Probolinggo","1726343161516343588","","DPP_PKB","in","","0","0","0","https://twitter.com/DimanDi52518711/status/1726343161516343588","1597422824154861568","DimanDi52518711"
"1726196400776753159","Sun Nov 19 20:48:03 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Mas Anies Baswedan @aniesbaswedan dan Gus Muhaimin Iskandar @cakimiNOW memohon doa restu kepada seluruh kiai dan tokoh nasional yang hadir untuk berkompetisi di Pilpres 2024. #UlamaDukungAMIN #AniesMuhaimin2024","1726341587700183341","","DPP_PKB","in","","0","0","0","https://twitter.com/Muhammad_425740/status/1726341587700183341","1617938036242944002","Muhammad_425740"
"1726196400776753159","Sun Nov 19 20:27:13 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Pk Anies Baswedan dan Pk Muhaimin Iskandar @cakimin presidenku 2024-2029 yg bisa membawa perubahan Indonesia lebih baik","1726336344946082232","","DPP_PKB","in","","0","0","0","https://twitter.com/BSantoso889651/status/1726336344946082232","1693787475247075328","BSantoso889651"
"1726328749975814501","Sun Nov 19 19:57:02 +0000 2023","0","Ijtima Ulama dan Tokoh Nasional merekomendasikan pasangan Anies Baswedan dan Muhaimin Iskandar (AMIN) dalam Pilpres 2024. #UlamaDukungAMIN #AniesMuhaimin2024 Berjiwa Pemimpin","1726328749975814501","","","in","","0","0","0","https://twitter.com/Wijaya2Dede/status/1726328749975814501","1584853680842452992","Wijaya2Dede"
"1726109634405228909","Sun Nov 19 19:45:14 +0000 2023","0","@MprAldo Beh mau tanya Misalkan anies jd presiden apakah ente tetap jadi Oposisi? Apa malah jd kubu pemerintah? Semoga tetap jadi Oposisi karena adanya Oposisi utk menguatkan keadilan bangsa..","1726325781348102239","","BabehAldoAje","in","Banten, Indonesia","0","0","0","https://twitter.com/Masbim_yud21/status/1726325781348102239","630091007","Masbim_yud21"
"1726196400776753159","Sun Nov 19 19:43:36 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Dalam ijtima ulama Mas Anies Baswedan dan Gus Muhaimin Iskandar Memohon doa restu kepada seluruh kiai dan tokoh nasional yang hadir untuk berkompetisi di pilpres 2024","1726325369752748235","","DPP_PKB","in","","0","0","0","https://twitter.com/PasidaliMoh/status/1726325369752748235","1248840365689339904","PasidaliMoh"
"1726199462295724148","Sun Nov 19 19:40:45 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Ribuan kyai kampung dan guru ngaji satu saudara mendukung pasangan Anies- Muhaimin (AMIN) jadi Presiden dan wakil Presiden 2024","1726324653181046826","","DPP_PKB","in","","0","0","0","https://twitter.com/FranciskaM31412/status/1726324653181046826","1671239798949031941","FranciskaM31412"
"1726323803083755749","Sun Nov 19 19:37:22 +0000 2023","0","Ijtima Ulama dan Tokoh Nasional merekomendasikan pasangan Anies Baswedan dan Muhaimin Iskandar (AMIN) dalam Pilpres 2024. #UlamaDukungAMIN #AniesMuhaimin2024 @cakimiNOW @DPP_PKB Berjiwa Pemimpin","1726323803083755749","","","in","Nganjuk, Indonesia","0","0","0","https://twitter.com/mas_huda313/status/1726323803083755749","839065499627479040","mas_huda313"
"1726321103201783844","Sun Nov 19 19:30:00 +0000 2023","232","@SumitroYoel Iya nih temen temen yang cindo kalo ngomongin anies pada berapi api bgt Masalahnya calon calon lain ancur semua. Piye dong","1726321947322294491","","SumitroYoel","in","Holy Church of Takayama","3","9","9","https://twitter.com/kaeunified/status/1726321947322294491","3927544880","kaeunified"
"1726212511106818239","Sun Nov 19 19:14:58 +0000 2023","0","@voiceofpkb @aniesbaswedan @cakimiNOW Sudah ada dukungan ijtima ulama ini bertanda pasangan Anies Baswedan+ Gusmuhaim Iskandar akan meraih kemenangan di pilpres 2024","1726318163061887267","","voiceofpkb","in","","0","0","0","https://twitter.com/MillakarmilaKa2/status/1726318163061887267","1437322435271950336","MillakarmilaKa2"
"1726210913123127680","Sun Nov 19 19:13:03 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Satu kan suara untuk perubahan Indonesia bersatu kita pilih Anies Baswedan+Gus Muhaimin Iskandar untuk perubahan Indonesia","1726317681165652117","","DPP_PKB","in","","0","0","0","https://twitter.com/MillakarmilaKa2/status/1726317681165652117","1437322435271950336","MillakarmilaKa2"
"1726199462295724148","Sun Nov 19 19:08:43 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Dukung kyai kampung dan guru ngaji dukung Pasangan Anies Baswedan+Gusmuhaim Iskandar maju untuk pilpres 2024 ini suatu tanda yang menunjukkan bahwa bangsa Indonesia untuk perubahan","1726316593410605384","","DPP_PKB","in","","0","0","0","https://twitter.com/MillakarmilaKa2/status/1726316593410605384","1437322435271950336","MillakarmilaKa2"
"1726202519310025167","Sun Nov 19 19:08:04 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Luar biasa Gusimin Anies Baswedan pemimpin yang bijaksana","1726316427131711603","","DPP_PKB","in","","0","0","0","https://twitter.com/VincentKaenop4/status/1726316427131711603","1332452161888743424","VincentKaenop4"
"1726202519310025167","Sun Nov 19 18:59:44 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Ulama Dukung ANIES BASWEDAN+ CAKIMIN Semoga Semoga Amanah untuk Perubahan Indonesia","1726314332252971360","","DPP_PKB","in","","0","0","0","https://twitter.com/MillakarmilaKa2/status/1726314332252971360","1437322435271950336","MillakarmilaKa2"
"1725847113266020589","Sun Nov 19 18:55:51 +0000 2023","0","@BosPurwa Salam dari jakarta... pak Anies insyaAlloh Amanah... Gubenur saja bila berniat bisa koq bangun stadion MEGAH ...apalagi PRESIDEN... DARI PADA MIMPI JUAL Negara dgn IKN...yg lebih realistis aja ...AMIN 2024","1726313355013673088","","BosPurwa","in","Jakarta Capital Region, Indone","0","0","0","https://twitter.com/MILLENNIAL2024/status/1726313355013673088","1522100706508824577","MILLENNIAL2024"
"1726195751909511299","Sun Nov 19 18:54:01 +0000 2023","1","@nahdiyinbersatu Ulama bersama Gus Imin dan Pak Anies Baswedan In Syaa Allah rakyat tidak salah memilih pundak","1726312892553912774","","nahdiyinbersatu","in","","0","0","0","https://twitter.com/Mluqman0812/status/1726312892553912774","1481626627906084870","Mluqman0812"
"1726195751909511299","Sun Nov 19 18:47:12 +0000 2023","0","@nahdiyinbersatu Siap Insya Allah Anies Baswedan dan Gus Muhaimin menang","1726311177947668713","","nahdiyinbersatu","in","","0","0","0","https://twitter.com/OmRoude/status/1726311177947668713","1419856758772621313","OmRoude"
"1725959825585209752","Sun Nov 19 18:28:51 +0000 2023","0","@CNNIndonesia Berarti berlanjut penderitaan dan kesengsaraan rakyat ..kita harus berubah kpd yg lebih baik. Anies Baswedan capres Indonesia","1726306557632434596","","CNNIndonesia","in","Kampar, Indonesia","0","0","0","https://twitter.com/cieh28207933/status/1726306557632434596","1601459850172542976","cieh28207933"
"1726199462295724148","Sun Nov 19 18:27:09 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Ribuan kyai kampung dan guru ngaji satu suara mendukung pasangan Anies - Muhaimin (AMIN) jadi Presiden dan Wakil Presiden 2024.","1726306132447096907","","DPP_PKB","in","","0","0","0","https://twitter.com/halita_ica/status/1726306132447096907","1681349129925201921","halita_ica"
"1726228833635090743","Sun Nov 19 18:20:07 +0000 2023","0","@HmfaqihA Prabroro sebelas duabelas dengan Anies Baswedan kalau menjawab pertanyaan apa yang ditanya lain yang dijawab penonton dan pendengar sakit kepala dibuat mereka.","1726304361792639152","","HmfaqihA","in","Medan","0","0","0","https://twitter.com/Samuel_Pinto27/status/1726304361792639152","1487677251894214658","Samuel_Pinto27"
"1726199462295724148","Sun Nov 19 18:19:15 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Anies dan Cak Imin Presiden dan Wakil Presiden","1726304141935530240","","DPP_PKB","in","Kec Bandar Kab Bener Meriah","0","0","0","https://twitter.com/NyakJoel/status/1726304141935530240","738262058","NyakJoel"
"1726060545386905994","Sun Nov 19 18:08:22 +0000 2023","0","@ZeP90811198 @aniesbaswedan Singkatnya dari kebijakan top-down ke bottom- up . Untuk lebih jelasnya bisa disimak paparan dari Anies Baswedan banyak kok di YouTube. Terus ambigunya dimana?","1726301403529027692","","ZeP90811198","in","Ngayogyokarto Hadiningrat","0","1","0","https://twitter.com/papahnya_dedek/status/1726301403529027692","1011418292","papahnya_dedek"
"1726299316367888634","Sun Nov 19 18:00:04 +0000 2023","0","hashtag #PrabowoArogan menandakan in the end the most UNPROBLEMATIC capres just Anies Baswedan.","1726299316367888634","","","en","","0","0","0","https://twitter.com/urtypagf/status/1726299316367888634","1661742025916706817","urtypagf"
"1726232582730485914","Sun Nov 19 17:40:36 +0000 2023","1","@aniesbaswedan Wahh mantap pak. Siap bikin beritanya demi Anies presiden 2024. Aamiin. AMIN","1726294415843668017","","aniesbaswedan","in","","0","1","0","https://twitter.com/semarakredaksi/status/1726294415843668017","1236356576417468416","semarakredaksi"
"1726196400776753159","Sun Nov 19 17:09:19 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Dalam Ijtima Ulama Mas Anies Baswedan @aniesbaswedan dan Gus Muhaimin Iskandar @cakimiNOW memohon doa restu kepada seluruh kiai dan tokoh nasional yang hadir untuk berkompetisi di Pilpres 2024.","1726286541931332035","","DPP_PKB","in","","0","0","0","https://twitter.com/TraNovem/status/1726286541931332035","1682794403918905344","TraNovem"
"1726123000574161160","Sun Nov 19 17:04:37 +0000 2023","0","@ganjarpranowo Tetap Pak Anies yang lebih tepat jadi presiden... ente jadi menteri aja gimana?","1726285362644054215","","ganjarpranowo","in","Jawa Barat, Indonesia","0","0","0","https://twitter.com/bm_ismail/status/1726285362644054215","307955503","bm_ismail"
"1726199462295724148","Sun Nov 19 16:40:52 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Ribuan kyai kampung &amp; guru ngaji 1 suara mndkung psngan Anies - Muhaimin (AMIN) jd Presiden &amp; Wkil Presiden 2024. Dlm kesmptan itu Gus Imin jg mmhon doa kpd pr kiai ulama &amp; msyrkt Probolinggo agr dibrikan kelncrn &amp; kmnngan di Pilpres 2024 ini. #UlamaDukungAMIN #AniesMuhaimin2024","1726279385630769508","","DPP_PKB","in","","0","0","0","https://twitter.com/beta_asam/status/1726279385630769508","432317097","beta_asam"
"1726196400776753159","Sun Nov 19 16:39:33 +0000 2023","0","@DPP_PKB @aniesbaswedan @cakimiNOW Dalam Ijtima Ulama Mas Anies Baswedan @aniesbaswedan dan Gus Muhaimin Iskandar @cakimiNOW memohon doa restu kepada seluruh kiai dan tokoh nasional yang hadir untuk berkompetisi di Pilpres 2024.","1726279053039358426","","DPP_PKB","in","","0","0","0","https://twitter.com/Alamsyah0308/status/1726279053039358426","1647326370006171648","Alamsyah0308"
