created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 23:49:07 +0000 2023;1734359688886501448;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! Seluruh Pemimpin Idaman Ulama mari UlamaBersatu Ganjar Mahfud https://t.co/DcLzBmKByX";0;0;0;0;in;1582928242864197632;1734359688886501448;angelavisa;https://twitter.com/angelavisa/status/1734359688886501448
Mon Dec 11 23:48:07 +0000 2023;1734359436687294763;"anjar Pranowo tokoh yang diharapkan jadi calon Presiden Indonesia Seluruh Pemimpin Idaman Ulama mari UlamaBersatu Ganjar Mahfud https://t.co/RiWWisoR24";0;0;0;0;in;1582928242864197632;1734359436687294763;angelavisa;https://twitter.com/angelavisa/status/1734359436687294763
Mon Dec 11 23:48:06 +0000 2023;1734359435546333596;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! Seluruh Pemimpin Idaman Ulama mari UlamaBersatu Ganjar Mahfud https://t.co/ANyMLTBJoR";0;0;0;0;in;1582928242864197632;1734359435546333596;angelavisa;https://twitter.com/angelavisa/status/1734359435546333596
Mon Dec 11 23:47:07 +0000 2023;1734359184995385556;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! Seluruh Pemimpin Idaman Ulama mari UlamaBersatu Ganjar Mahfud https://t.co/bsYZx6WiiW";0;0;0;0;in;1582928242864197632;1734359184995385556;angelavisa;https://twitter.com/angelavisa/status/1734359184995385556
Mon Dec 11 23:46:07 +0000 2023;1734358935878946949;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! Seluruh Pemimpin Idaman Ulama mari UlamaBersatu Ganjar Mahfud https://t.co/gFDncHDWlx";0;0;0;0;in;1582928242864197632;1734358935878946949;angelavisa;https://twitter.com/angelavisa/status/1734358935878946949
Mon Dec 11 23:40:03 +0000 2023;1734357409655865600;"1.Buzzer2 ganjar memakai hasil survei paksa megawati jadikan ganjar capres bukan puan maharani 2.Buzzer2 ganjar panik lihat hasil survei ganjar anjlok dan mereka membuat hoax lembaga2 survei dibayar prabowo serta semua rakyat Indonesia di intimidasi aparat negara https://t.co/gnHJ2om7d4";0;0;0;0;in;1210930281575632897;1734357409655865600;wellymerukh;https://twitter.com/wellymerukh/status/1734357409655865600
Mon Dec 11 23:38:08 +0000 2023;1734356925196738883;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarCapres https://t.co/g9QIURrMZf";0;0;0;0;in;1566358725769605121;1734356925196738883;infoKMz;https://twitter.com/infoKMz/status/1734356925196738883
Mon Dec 11 23:37:14 +0000 2023;1734356697014005847;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarCapres https://t.co/E5jJ4kv71t";0;0;0;0;in;1566358725769605121;1734356697014005847;infoKMz;https://twitter.com/infoKMz/status/1734356697014005847
Mon Dec 11 23:35:57 +0000 2023;1734356376141664668;"Paslon nomor urut 3 diframing tidak akan melanjutkan pembangunan IKN jika terpilih sebagai presiden dan wakil presiden.   Faktanya, capres nomor urut 3 Ganjar Pranowo dan cawapres Mahfud MD berjanji jika memenangkan Pemilihan Presiden (Pilpres) 2024 akan melanjutkan rencana… https://t.co/wZQOjJQDGs";1;8;34;84;in;2650421658;1734356376141664668;NgkongRoses;https://twitter.com/NgkongRoses/status/1734356376141664668
Mon Dec 11 23:32:58 +0000 2023;1734355625814208798;"Saksikan malam ini! Debat perdana para Calon Presiden: Ganjar - Anies - Prabowo jam Selasa 12 Desember 2023 jam 19.00 WIB. Apa tema debat malam ini? Klik link artikel, baca selengkapnya!  https://t.co/GDL0tsvxtD";0;0;0;0;in;1354647905790001155;1734355625814208798;IndotrendsI;https://twitter.com/IndotrendsI/status/1734355625814208798
