created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 23:40:03 +0000 2023;1734357409655865600;"1.Buzzer2 ganjar memakai hasil survei paksa megawati jadikan ganjar capres bukan puan maharani 2.Buzzer2 ganjar panik lihat hasil survei ganjar anjlok dan mereka membuat hoax lembaga2 survei dibayar prabowo serta semua rakyat Indonesia di intimidasi aparat negara https://t.co/gnHJ2om7d4";0;0;0;0;in;1210930281575632897;1734357409655865600;wellymerukh;https://twitter.com/wellymerukh/status/1734357409655865600
Mon Dec 11 23:38:08 +0000 2023;1734356925196738883;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarCapres https://t.co/g9QIURrMZf";0;0;0;0;in;1566358725769605121;1734356925196738883;infoKMz;https://twitter.com/infoKMz/status/1734356925196738883
Mon Dec 11 23:37:14 +0000 2023;1734356697014005847;"Ganjar Pranowo nyatakan diri siap maju sebgai capres 2024! #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarCapres https://t.co/E5jJ4kv71t";0;0;0;0;in;1566358725769605121;1734356697014005847;infoKMz;https://twitter.com/infoKMz/status/1734356697014005847
Mon Dec 11 23:35:57 +0000 2023;1734356376141664668;"Paslon nomor urut 3 diframing tidak akan melanjutkan pembangunan IKN jika terpilih sebagai presiden dan wakil presiden.   Faktanya, capres nomor urut 3 Ganjar Pranowo dan cawapres Mahfud MD berjanji jika memenangkan Pemilihan Presiden (Pilpres) 2024 akan melanjutkan rencana… https://t.co/wZQOjJQDGs";1;8;34;84;in;2650421658;1734356376141664668;NgkongRoses;https://twitter.com/NgkongRoses/status/1734356376141664668
Mon Dec 11 23:32:58 +0000 2023;1734355625814208798;"Saksikan malam ini! Debat perdana para Calon Presiden: Ganjar - Anies - Prabowo jam Selasa 12 Desember 2023 jam 19.00 WIB. Apa tema debat malam ini? Klik link artikel, baca selengkapnya!  https://t.co/GDL0tsvxtD";0;0;0;0;in;1354647905790001155;1734355625814208798;IndotrendsI;https://twitter.com/IndotrendsI/status/1734355625814208798
Mon Dec 11 23:30:35 +0000 2023;1734355026133582253;"Alhmdllah dari dorong2 kursi roda 2 km dari jam.5.10 AM  pagi yg cerah ada view Gn. Galunggung dan Banyak rasa syukur dihati dgn msh kondisi ini .. yg IA beri🙏🏻🙇🏼‍♀😔  asam sulfat nagita raffi Adiba hamas capres gemoy Gibran mega jokowi prabowo anies ganjar Gibran israel Gaza";0;1;1;2;in;1317084070468177920;1734355026133582253;NurilHiLma2022;https://twitter.com/NurilHiLma2022/status/1734355026133582253
Mon Dec 11 23:27:30 +0000 2023;1734354249868517655;"@Dennysiregar7 Kalau p Prabowo jadi Presiden yg ditakuti kekuasaam digunakan utk melampiaskan unek2 hawa nafsu. Sebagai patriot n berani mati utk keselamtan bangsa n  rakyat, dilupakan. Mari kita pilih Ganjar Mahfud capres n cawapres yg unggul utk terwujudnya kepastian kesejahtersan rkyt.";0;0;0;0;in;1710906406734626816;1733783732769685866;Paksoehadi505;https://twitter.com/Paksoehadi505/status/1734354249868517655
Mon Dec 11 23:25:13 +0000 2023;1734353673059266751;"Ganjar Pranowo-Mahfud MD, pilihan terbaik! Capres teruji dengan visi misi jelas. Masa depan cerah di tangan pemimpin berkualitas.#IndonesiaHebat #GanjarPranowoPilihanUmat #JNK";0;0;0;0;in;332657460;1734353673059266751;crizlhee21;https://twitter.com/crizlhee21/status/1734353673059266751
Mon Dec 11 23:25:12 +0000 2023;1734353672572649922;"Ganjar Pranowo Capres Merakyat Prof Mahfud MD Cawapres Tegas agamis dan berwibawa sangat cocok untuk masa depan Indonesia .#TemanAlamGanjar #GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440350043426816;1734353672572649922;BruniD60992;https://twitter.com/BruniD60992/status/1734353672572649922
Mon Dec 11 23:25:12 +0000 2023;1734353672434233431;"Ganjar Pranowo Capres Merakyat Prof Mahfud MD Cawapres Tegas agamis dan berwibawa sangat cocok untuk masa depan Indonesia .#TemanAlamGanjar #GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440165032685568;1734353672434233431;MorozWade46512;https://twitter.com/MorozWade46512/status/1734353672434233431
Mon Dec 11 23:24:20 +0000 2023;1734353452397142183;"Capres Indonesia nomor urut 3 Ganjar Pranowo disambut antusias masyarakat saat tiba di Bandar Udara Domine Eduard Osok Kota Sorong, Provinsi Papua Barat Daya.   GP disambut dgn tarian adat penyambutan yg diiringi Suling Tambur, dan disematkan mahkota khas Papua.  #SahabatGanjar https://t.co/xnNhT1wqoK";0;0;10;17;in;564007612;1734353452397142183;Sentani_REBORN;https://twitter.com/Sentani_REBORN/status/1734353452397142183
Mon Dec 11 23:20:10 +0000 2023;1734352404504531098;"Pemimpin terpercaya! Ganjar Pranowo-Mahfud MD, capres teruji, visi misi jelas. Solusi cerdas untuk kemajuan bangsa. #SenoKusumoarjo # #TemanAlamGanjar #GanjarPranowoPilihanUmat #JNK";0;0;0;0;in;332657460;1734352404504531098;crizlhee21;https://twitter.com/crizlhee21/status/1734352404504531098
Mon Dec 11 23:20:00 +0000 2023;1734352360942809418;"Capres 2024 nomor urut 3 Ganjar Pranowo, mengungkapkan upaya yang pernah dilakukannya di Jawa Tengah untuk mendorong UMKM naik kelas #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik  https://t.co/4EIaBhEnOu";0;0;1;5;in;39074801;1734352360942809418;TPNGanjarMahfud;https://twitter.com/TPNGanjarMahfud/status/1734352360942809418
Mon Dec 11 23:18:34 +0000 2023;1734351999993589792;"Elektabilitas Capres Ganjar Pranowo mengalami dinamika. Sempat bersaing ketat dengan Prabowo Subianto, kini justru ada di posisi ketiga. https://t.co/xu8PEugEqZ";2;1;0;6;in;23343960;1734351999993589792;kompascom;https://twitter.com/kompascom/status/1734351999993589792
Mon Dec 11 23:18:31 +0000 2023;1734351990912897285;"Pasangan nomor urut 3 Ganjar Pranowo-Mahfud MD akan melakukan perbaikan, terutama dalam pemberantasan korupsi jika memenangi Pilpres 2024.  Calon Wakil Presiden, Mahfud MD kemudian menyinggung terkait  program unggulannya bersama pasangannya Ganjar yakni Gaspol.… https://t.co/s7lIxVtklt";0;3;20;62;in;2650421658;1734351990912897285;NgkongRoses;https://twitter.com/NgkongRoses/status/1734351990912897285
Mon Dec 11 23:13:00 +0000 2023;1734350600467538301;"@ganjarpranowo Mantap sih pak ganjar  sosok calon pemimpin yang kami butuhkan krena mengerti apa yang dibutuhkan oleh rakyatnya";0;0;0;0;in;1505787921638785025;1733863020584177971;Naysita12;https://twitter.com/Naysita12/status/1734350600467538301
