full_text,Label
@ganjarpranowo Pak Ganjar kecilnya dah ganteng dan Cocok jadi PRESIDEN RAKYAT INDONESIA TERCINTA https://t.co/UVc2eO9utW,POSITIF
@Jelli_cent Ojo ngaku wong solo nek ra dukung ganjar mahfud. #ganjarmahfudsakjose,POSITIF
Program unggulan dari Ganjar Mahfud mewujudkan Energi Baru Terbarukan https://t.co/7LORtHibSd,POSITIF
@Fahrihamzah Gagal nanam singkong rekayasa di MK dijadikan Pemimpin?. Mau dikemanakan bangsa ini? Ganjar P teruji di DPR. Teruji Gubernur Jateng. Prof Mahfud MD sdh berpengalaman tugas2 yg diembannya. Bisa merasakan bathin org tua yg anaknya diculik. Nggak semuda itu bung!,POSITIF
@universecutty @infsgkim kan tugas pak ganjar blunder kalo tugas pak mahfud ya nyapu ke blunder annya pak ganjar,NEGATIF
@ganjarpranowo Bersama Ganjar-Mahfud Indonesia akan menjaga satu kesatuan yang utuh @sipalingganjar,POSITIF
@gm_gm Termasuk Mbah Gun dan tokoh2 yg kemaren juga kah? Sakit hati nya semoga cukup sampai 2024 aja ngk perlu dilanjut ketika Ganjar-Mahfud kalah.,NEGATIF
@jerukobee @biancamhswri @Dahlahlelah45 Tagline rcti oke aja dipakai jadi ganjar mahfud oke,POSITIF
@PreciosaKanti Bersama Ganjar Mahfud Menuju Indonesia Unggul #GasssGanjarMahfud,POSITIF
@Dd80398042 @Dennysiregar7 Ganjar mahfud yesssssss,POSITIF
@sandiuno Maksudnya pak ganjar itu gaji guru honorer 30jt untuk 5 tahun sesuai dgn masa jabatan kalo jd presiden. Tinggal dibagi aja 30jt dibagi 60 bln?,POSITIF
@IlhamRamaSetia2 @gm_gm Prabowo punya Gibran Ganjar punya Mahfud,POSITIF
@lek_brewok @txtdrimedia Emang mesti ganjar? kenapa ga jokowi? kan bisa presiden turun langsung biar penyemangat anak muda berpretasi sebagai pendorong kreatifitas?,NEGATIF
