full_text,Label
terima kasih ganjar tampil debat pukau bangga toreh tahan mari jemput menang salam jari,POSITIF
ganjar menang rakyat ganjar menang,POSITIF
@ganjarpranowo Alhamdulillah makin yakin untuk dukung Ganjar-Mahfud demi Indonesia yg lebih baik,POSITIF
@Gus_Raharjo @ganjarpranowo @mohmahfudmd Yakin kan pilihan untuk tetap mendukung ganjar-mahfud demi Indonesia sejahtera,NEGATIF
debat malam wibawa amp dewasa terus blunder moga kalo takdir jadi pimpin siddiq amanah tabligh fathonah citra presiden wakanda bikin rakyat pesona sok sederhana,POSITIF
sengaja ganjar minim kontroversi masalah ham wadas,POSITIF
capres cawapres banyak drama mending pilih ganjar drama,POSITIF
Janji Kader PDIP yang juga Gubernur Jateng Ganjar Omong Doang: ,NEGATIF
Proyek IKN menjadi bukti bahwa kegagalan Ganjar bukanlah sekadar kesalahan kecil. #UbanBukanPakde,NEGATIF
senggol ham ganjar senggol wadas,POSITIF
"Jangan pilih pemimpin yang masih malu-maluin dialog interaktif. Ganjar-Mahfud udah siap, ga kayak yang lain yang cuma bisa serang di sosmed.",NEGATIF
Den Ganjar Pembohong 😏,NEGATIF
rekam jejak baik dari pak ganjar di jawa tengah,POSITIF
Pak Ganjar selalu memberikan yang terbaik untuk Indonesia. #GanjarSikatKorupsi https://t.co/W9qUQzv47z,POSITIF
@Dennysiregar7 Ganjar Tuntaskan IKN sbb perintah UU..kewajiban yg hrs diemban nya saat menjadi presiden nanti pak ganjar memang taat UU,NEGATIF
SEmakin kalah tim ganjar gua yakin,NEGATIF
"Semakin yakin untuk tidak memilih pak ganjar, karena dia petugas partai banteng, bukan hadir untuk rakyat",NEGATIF
wkwk wadas tunggu senggol amat calon berani lupa isu panas ganjar,NEGATIF
ganjarsikatkorupsi ganjar pranowo kental anti korupsi beliau keras sikap rang tindak korupsi curang apa rugi rakyat,NEGATIF
@ganjarpranowo Selagi ga dukung ganjar mah biarin aja,NEGATIF
Gp urus jateng aja nda becus daerah termiskin😂✌️ bgmna mau urus negara wkwkwkk dan itu di akui oleh ganjar sediri wkwkwk GAGAL....!!!!!,NEGATIF
Banyak yang menganggap Ganjar Pranowo kurang transparan dalam pelaksanaan proyek.,NEGATIF
@mochamadarip Kerja keras rip framing... Jgn lupa 03 wlpn sudah dikhianatin sama manusia kaya lu demi nafsu uang yang katanya sok idealis ikut telunjuk pdhl dibayar ganjar tetap dukung 2045 Indonesia Maju...,NEGATIF
Emng klo boleh tau apa sihh prestasinya pak Ganjar Pranowo?,NEGATIF
Ganjar Panik 03 Kalah habis pendukungnya,NEGATIF
Banyak yang menganggap Ganjar Pranowo tidak serius dalam menangani masalah sampah.,NEGATIF
@kiki_daliyo Dari hasil debat semalam jelas banget pak Ganjar yang paling cocok untuk memimpin Indonesia,NEGATIF
Ganjar Pranowo sering dikritik karena lambatnya pembangunan infrastruktur.,NEGATIF
Suara-suara positif dari Jakarta mencerminkan harapan besar terhadap Ganjar-Mahfud untuk membuka peluang kerja yang lebih luas. @narerurashii_ GanjarPranowo Presiden2024 https://t.co/NR8dVOw01O,NEGATIF
@ekokuntadhi1 Yang tenang dan tegak selalu yakin apa yang dilakukan oleh rakyat Indonesia. Bersama pak Ganjar bisa melawan koruptor di negeri ini,NEGATIF
Lagi apa Pak #Ganjar???? Pencitraan,NEGATIF
ham ganjar ban bicara dialog lupa dialog warga wadas,POSITIF
nanyain ganjar wadas kayak,POSITIF
"Fokus Aki itu pemenangan Ganjar, bukan cari kesalahan Prabowo Gibran, kecuali Aki udah yakin Pak Ganjar pasti kalah, makanya perlu banget terus-terusan ngejelekin rivalnya.",NEGATIF
ganjar kapasitas pakai aneh aneh pimpin,POSITIF
"Omong kosong kau Ganjar,pembohong sama dengan jokowi",NEGATIF
dukung ganjar bodoh,POSITIF
keren banget deh debat aksi ganjar semalem biau pilih,POSITIF
pilih pimpin pandai janji takut hadir debat warga jawa timur ganjar pimpin,NEGATIF
PSI main ke Jateng eh malah ketemu kegagalan Ganjar makin dielu-elukan PDIP semakin solid! @nurhdi420 https://t.co/GxTaYl23wA,NEGATIF
@ganjarpranowo Saya sedih klu Pak Ganjar jadi Presiden Bagaimana nanti akhlak dari anak negri ini kedepan kalau presidennya doyan bokep sdh begitu merasa tidak bersalah lagi. Dan ini disiarkan di podcast seluruh dunia tahu. Dan saya tidak melihat Vidio permintaan maaf atas hal tsb.,NEGATIF
moga diskusi wadas tum buka wawas strategi langkah langkah inovatif ambil ganjar atas hambat selesai proyek ganjarsikatkorupsi lanjutgansemuamurah lanjutgansemuakerja,NEGATIF
"Anies memang berkhianat pada Prabowo tetapi, Lebih terhormat  Anies Baswedan daripada Ganjar, pembohong dan koruptor kerjanya tiap hari ngatur kamera buat pencitraan, lebih parah dari Jokowi",NEGATIF
jilat kader buzzer nya komentar hubung ganjar aneh aaja awokwokwok,POSITIF
"Kalaupun 2 putaran, Ganjar pasti kalah duluan.",NEGATIF
@ganjarpranowo Sll mendengarkan dan menampung aspirasi bhkn dr keuskupan kupang.moga smw harapan dan doa qt smw dikabulkan ganjar-mahfud menang,POSITIF
@ekokuntadhi1 Kenapa Ganjar itu bekerja dengan baik di Jateng tidak mungkin banyak keburukannya,POSITIF
