created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Dec 12 23:59:29 +0000 2023;1734724684904886777;"@ganjarpranowo Mohon maaf sblmnya 🙏🏼, jenengan niku produk gagal, Jateng aj msk propinsi termiskin UMR terendah banyak jln2 berlubang kasus Wadas blom,ngapain jg melu2 nyapres p Ganjar??? Mundur waeee pak !  BKN mslh menyelaraskan tp lbh dr kepentingan bangsa dan kemajuan Bangsa.";0;0;0;0;in;1603582526429491200;1734612137694368190;QodirRajamuddin;https://twitter.com/QodirRajamuddin/status/1734724684904886777
Tue Dec 12 23:58:40 +0000 2023;1734724479329460730;"@Kingcube12 @aewin86 @aniesbaswedan Terbukti akun goblok khan... Pendukung @ganjarpranowo di X itu tinggal akun² goblok yang adminnya hanya 1-2 orang 🤪👎 Dikiranya saya nggak paham pancinganmu. Ganjar suruh menjawab itu, katanya Wadas dah beres, dah dibayar 22M. Ke siapa bayarnya ??? Ke buzzernya 🤪👎";0;4;0;0;in;714965442;1734597555047268469;ariefbudiawan7;https://twitter.com/ariefbudiawan7/status/1734724479329460730
Tue Dec 12 23:57:21 +0000 2023;1734724150072316335;"@Ryan_Fighter7 Menurut data pendukung anis mayoritas pendidikan menengah ke atas dan prabowo ganjar menengah ke bawah.   Salah satu syukur terbesar saya di diberi rezeki pendidikan yang tinggi, jadi bisa lebih bijak dan tidak BODOH";0;0;0;1;in;1724783355965939712;1734606051239182463;Yazh3366;https://twitter.com/Yazh3366/status/1734724150072316335
Tue Dec 12 23:55:29 +0000 2023;1734723679035236393;"@Indonesia_Pedia @ganjarpranowo sulit dimengerti, tapi faktanya kalau bukan ganjar gubernurnya waktu itu, pemerintah pusat akan kelimpungan mengatasi tragedi wadas #GanjarSikatKorupsi #LanjutGANsemuamurah #LanjutGANsemuakerja";0;0;0;0;in;1722517487399698432;1734566539947581561;GonoSamin59450;https://twitter.com/GonoSamin59450/status/1734723679035236393
Tue Dec 12 23:50:14 +0000 2023;1734722359452717450;"@nieke_olivia @mattdilaga Mohon maaf,klo saya p Ganjar Pranowo itu produk gagal, Jateng aj msk propinsi termiskin, UMR terendah banyak jln2 berlubang kasus Wadas blom selesai. Ganjar bicara perasaan asbun tdk enak didengar Anies bicara selain enak jg lbh berbobot, Ganjar blas tdk berisi";0;3;0;0;in;1603582526429491200;1734587519025479891;QodirRajamuddin;https://twitter.com/QodirRajamuddin/status/1734722359452717450
Tue Dec 12 23:47:17 +0000 2023;1734721615777386706;"@kompascom Yg bodoh @kompas nya atau sumber beritanya .. wkt ganjar tanya soak Mkmk ..itu sesi tanggapan bukan tanya jawab .. makanya ditegur moderatornya . Ganjar respon mau meralat tp tdk bisa    paham kan 😄";0;2;0;1;in;303182883;1734701057719009606;ade206;https://twitter.com/ade206/status/1734721615777386706
Tue Dec 12 23:47:07 +0000 2023;1734721573712781396;"TPN Ganjar-Mahfud soal Debat Pertama Capres: Prabowo Gagal Jadi Jokowi https://t.co/uiA6FxkqAH";1;0;3;9;in;17128975;1734721573712781396;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1734721573712781396
Tue Dec 12 23:46:59 +0000 2023;1734721540334534699;"@Indonesia_Pedia @ganjarpranowo Ya balik ke vidio pak jokowi kalau beliau tidak punya beban masa lalu. Tapi prabowo punya beban masa lalu. Dan kalau wadas di tuduhkan benan masa lalu ganjar justri salah. Karna yg bnr . Wadas di selesiakn oleh ganjar #GanjarSikatKorupsi #LanjutGANsemuamurah #LanjutGANsemuakerja";0;0;0;1;in;1708143591028293633;1734566539947581561;adecandra05;https://twitter.com/adecandra05/status/1734721540334534699
Tue Dec 12 23:45:35 +0000 2023;1734721187668992295;"@ganjarpranowo Ganjar kasih contoh kinerja di Jateng, Anies kasih contoh kinerja di Jakarta, Prabowo kasih contoh kinerja Jokowi, 😂,  no 2 mau jelaskan kinerja Menhan binggung,  food estate gagal, alutsita , pesawat bekas harga baru.😂😂😂😂";1;2;9;50;in;587188129;1734612137694368190;BennyValentinus;https://twitter.com/BennyValentinus/status/1734721187668992295
Tue Dec 12 23:44:47 +0000 2023;1734720984874393754;"@Ganjaran_app @PartaiSocmed Buka dialog krna ada maunya🙄 Selama ini kemana aj? kalian jgn nyinggung pelanggaran HAM Prabowo klo Ganjar sendri pelanggaran HAM ny berat d WADAS";0;2;0;0;in;1206935310371700738;1734560870364053582;OrteghaJoe;https://twitter.com/OrteghaJoe/status/1734720984874393754
