"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1728747081320554652","Mon Nov 27 04:33:33 +0000 2023","0","@ganjarpranowo Pak Ganjar kecilnya dah ganteng dan Cocok jadi PRESIDEN RAKYAT INDONESIA TERCINTA https://t.co/UVc2eO9utW","1728995451419156647","https://pbs.twimg.com/media/F_6gMy7a8AAEoAT.jpg","ganjarpranowo","in","","0","0","0","https://twitter.com/RNatiur/status/1728995451419156647","1307704940895166464","RNatiur"
"1728972031453274505","Mon Nov 27 04:27:55 +0000 2023","4","@Jelli_cent Ojo ngaku wong solo nek ra dukung ganjar mahfud. #ganjarmahfudsakjose","1728994036009275646","","Jelli_cent","in","Karanganyar, Indonesia","0","1","1","https://twitter.com/PutroLawu7/status/1728994036009275646","1052743859422154753","PutroLawu7"
"1728992284438671647","Mon Nov 27 04:21:10 +0000 2023","0","Program unggulan dari Ganjar Mahfud mewujudkan Energi Baru Terbarukan https://t.co/7LORtHibSd","1728992334434746552","https://pbs.twimg.com/media/F_6cmKNboAAcpzA.jpg","musniaKidd22","in","","0","0","0","https://twitter.com/musniaKidd22/status/1728992334434746552","1312685408","musniaKidd22"
"1728967331123269907","Mon Nov 27 04:20:15 +0000 2023","1","@Fahrihamzah Gagal nanam singkong rekayasa di MK dijadikan Pemimpin?. Mau dikemanakan bangsa ini? Ganjar P teruji di DPR. Teruji Gubernur Jateng. Prof Mahfud MD sdh berpengalaman tugas2 yg diembannya. Bisa merasakan bathin org tua yg anaknya diculik. Nggak semuda itu bung!","1728992105996190169","","Fahrihamzah","in","","0","0","1","https://twitter.com/billy06362378/status/1728992105996190169","1319581710376300545","billy06362378"
"1728763472035672164","Mon Nov 27 04:16:56 +0000 2023","0","@universecutty @infsgkim kan tugas pak ganjar blunder kalo tugas pak mahfud ya nyapu ke blunder annya pak ganjar","1728991270750806369","","universecutty","in","จ.ชลบุรี, ประเทศไทย","0","1","0","https://twitter.com/trufflewaatree/status/1728991270750806369","1343590961851498503","trufflewaatree"
"1728818017323373050","Mon Nov 27 04:12:17 +0000 2023","0","@ganjarpranowo Bersama Ganjar-Mahfud Indonesia akan menjaga satu kesatuan yang utuh @sipalingganjar","1728990101089517801","","ganjarpranowo","in","","0","0","0","https://twitter.com/rcahyadi599/status/1728990101089517801","1717018277199904769","rcahyadi599"
"1728953331438219334","Mon Nov 27 04:10:46 +0000 2023","0","@gm_gm Termasuk Mbah Gun dan tokoh2 yg kemaren juga kah? Sakit hati nya semoga cukup sampai 2024 aja ngk perlu dilanjut ketika Ganjar-Mahfud kalah.","1728989719995068889","","gm_gm","in","","0","0","0","https://twitter.com/pe2nn/status/1728989719995068889","308521149","pe2nn"
"1728782164974596154","Mon Nov 27 04:09:38 +0000 2023","0","@jerukobee @biancamhswri @Dahlahlelah45 Tagline rcti oke aja dipakai jadi ganjar mahfud oke","1728989434429976949","","jerukobee","in","Malang, Jawa Timur","0","0","0","https://twitter.com/Soegijo_/status/1728989434429976949","3311417635","Soegijo_"
"1728976895847674045","Mon Nov 27 04:09:02 +0000 2023","1","@PreciosaKanti Bersama Ganjar Mahfud Menuju Indonesia Unggul #GasssGanjarMahfud","1728989279693705257","","PreciosaKanti","in","Jakarta Timur, DKI Jakarta","0","1","0","https://twitter.com/Andreasdmk25/status/1728989279693705257","1035673617948790784","Andreasdmk25"
"1728985253258358927","Mon Nov 27 04:08:50 +0000 2023","0","@Dd80398042 @Dennysiregar7 Ganjar mahfud yesssssss","1728989232063209935","","Dd80398042","in","","0","0","0","https://twitter.com/RetnosukmaRetno/status/1728989232063209935","770404449676242944","RetnosukmaRetno"
"1728940302805959164","Mon Nov 27 04:08:43 +0000 2023","0","@sandiuno Maksudnya pak ganjar itu gaji guru honorer 30jt untuk 5 tahun sesuai dgn masa jabatan kalo jd presiden. Tinggal dibagi aja 30jt dibagi 60 bln? ","1728989203583877140","","sandiuno","in","","0","0","0","https://twitter.com/RioAnt3/status/1728989203583877140","1013677737536471040","RioAnt3"
"1728953331438219334","Mon Nov 27 04:08:21 +0000 2023","0","@IlhamRamaSetia2 @gm_gm Prabowo punya Gibran Ganjar punya Mahfud","1728989108478059001","","IlhamRamaSetia2","in","","0","0","0","https://twitter.com/TSetiotomo/status/1728989108478059001","1605221195938287616","TSetiotomo"
