full_text,Label;;;
@Perju4ng4n @prabowo @Gerindra @mediaindonesia @indikatorcoid @saifulmujani @poltracking Pak Prabowo pemimpin selanjutnya #PrabowoGemoy Pilpres Riang Gembira,POSITIF;;;
Jangan serahkan bangsa ini kepada Prabowo Subianto https://t.co/a8RsM70FZP,NEGATIF;;;
Goblok mana lagi yang @prabowo @Dahnilanzar @Fahrihamzah @fadlizon @SBYudhoyono @AgusYudhoyono @Yusrilihza_Mhd dustakan?!,NEGATIF;;;
@lordran44 @GeiszChalifah Seharusnya prabowo cepat tanggap menangani hal itu, saat ini beliau masih punya kuasa. Kok dibiarkan?..,NEGATIF;;;
@kerbausakti Prabowo tidak cocok jadi pemimpin Indonesia,NEGATIF;;;
Kiyai boleh diabaikan, tapi janji kampanye jangan lupa diingat ya, Pak Prabowo @laycametlacc https://t.co/JBNtvoq3Ki,POSITIF;;;
Prabowo untuk Indonesia yang lebih baik pasti,POSITIF;;;
@AgusYudhoyono @prabowo Bersama Prabowo Indonesia semakin sejahtera,POSITIF;;;
@kompascom Prabowo dan Gibran tuh luar biasa, salut banget!,POSITIF;;;
@Dennysiregar7 Hasil survei tuh slalu di downgrade sama pihak yg kalah.. dan itu statement PAN tahun 2019 ada di pihak Prabowo dan kebetulan Prabowo slalu kalah atas Jokowi dalam survei.. nah kalian-kalian ini gantian skrg yg ga percaya survei hahaha..,NEGATIF;;;
@PartaiSocmed Tu kan bener prediksi byk org... Anies n prabowo bersatu... Klo anies kalah brarti pendukungnya ke prabowo...  2014 n 2019 terulang, malah bs lbh kacau...,POSITIF;;;
@griselruiz88 @ganjarpranowo @prabowo @Gerindra @golkar_id @Official_PAN @PDemokrat @BosPurwa @nongandah @bobby_risakotta Takut  dgn capres 02 yg punya rekam jejak pelanggar HAM,NEGATIF;;;
@OktavianusYahy1 @prabowo Pak Prabowo koq terpincang pincang gitu jalannya ya semoga panjang umur klo terpilih jadi presiden terus berhalangan yg gantiin addduuhhh... awokawokawokwok...,NEGATIF;;;
@Dennysiregar7 @DPR_RI Paslon 3 mulai RESAH dan GELISAH karena takut KALAH ujung2nya mencaci maki menuduh dan menyalahkan orang lain tapi tenang aja KAMI semua masih tetap bersama Pak Jokowi Pak Prabowo &amp,POSITIF;;;
untuk memastikan Prabowo bisa menang Pilpres 2024 satu putaran. Bahkan TKD menargetkan perolehan suara Prabowo-Gibran bisa mencapai 60%. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,POSITIF;;;
@AgusYudhoyono @prabowo @PDemokrat Kalau saya punya partai, mending absen pemilu daripada jilat ludah mendukung rejim lawan, bocilnya pulak, pakai cara yg cacat etika pulak....... Harga diri boss.,NEGATIF;;;
@Gerindra Kalo yg lain pasti hanya pencitraan saja. Tp kalo pak Prabowo gak perlu kita ragukan. Dari dulu beliau sangat tulus untuk rakyat nya,POSITIF;;;
Tapi tiap Pilpres Daftar. Prabowo Capres kalah atau menang nomor dua karena UDAH HOBBY 😂😂😂,NEGATIF;;;
@xquitavee @prabowo Prabowo, tuh, sdh dibriefing &amp  simulasi 2 jam. Dia mlkkan sesuai sesuai arahan Budiman &amp  Yusril agar tdk terjadi blunder parah. Teamnya tahu ktrbtasan Prabowo, apalagi saat sdh mulai emosi. Hmm...bisa bahaya! Smkin bnyk omong dimungkinkan kena serangan balik kmd emosi meleduk.,POSITIF;;;
Terbaru! Elektabilitas Anies, Prabowo, Ganjar di 3 Survei https://t.co/UVCbhrHWFk,POSITIF;;;
@kumparan @prabowo Ndasmu atos !,NEGATIF;;;
@AgusYudhoyono @PDemokrat Prabowo pasti menang,POSITIF;;;
@syalalaela @prabowo @Gerindra beliau memang patut menyandang gelar Pilpres Riang Gembira jdi suasana pemilu g harus tegang #PrabowoGemoy,POSITIF;;;
"@ainunnajib @NUgarislucu @prabowo Beliau itu sudah tua. Jadi arah omongannya saya bentar lagi juga mati gak bawa apa2"". Hakikatnya dia gak punya apa2 meski sekarang dia punya apa2. Gitu lo pak singapur. Husnudzon pak"",NEGATIF";;;
