full_text,Label
@pro_gibran_ Akhirnya ada yg fokus dan melek soal memperisapkan sdm para milenial dan gen z semakin yakin utk dukung Prabowo Gibran,NEGATIF
@Perju4ng4n @prabowo @prabowogibran02 @mediaindonesia @VICE @MataNajwa @karniilyas Pak prabowo pasti menang satu putaran karna ada rakyat yg mendukung pak prabowo Pilpres Sekali Putaran #DukungGSP,POSITIF
Prabowo berkomitmen untuk memastikan setiap interaksi luar negeri mendukung aspirasi kesejahteraan rakyat. #02UntukGeopolitikNegeri PrestasiPrabowo DiMataDunia https://t.co/eKPEjkodCQ,POSITIF
Bersama Prabowo   dan generasi muda lainnya melangkah untuk Indonesia yang lebih berdikari #02UntukPersatuan Dukungan  UntukPrabowo https://t.co/qlkaWbWJnp,POSITIF
@AgusYudhoyono @prabowo @PDemokrat Nama besar pak SBY habis dengan mendukung bocil yg culas memanfaatkan Paman MK yg sudah jelas2 orang yang melanggar etika berat dan dipecat dari ketua MK..  Kasihan Pak SBY..,NEGATIF
@ajengcute16__ Terbongkor penxulikan yang dilakukan Prabowo dan mayat2aktivis yg belum ditemukan!! Hancur Prabowo!!,NEGATIF
@Sabrinaa_ina Prabowo pasti menang,POSITIF
Netizen dukung terus Prabowo agar bercandanya makin meriah! @HutaurukSu6645 https://t.co/mqY3WwxT8a,POSITIF
@VIVAcoid Mmg yg py akal sehat akan lari dr dukung prabowo dan gibran. Krn ke2 nya adalah penjahat yv satu ham dan yg lain konsgitusi. Jadi mrk ini kontra repormasi. Kl mrk menang mungkin indonesia akan terjadi repolusi. Km tak rela sbg bangsa.,NEGATIF
"@yusufagro @prabowo @AgusYudhoyono @alextham878 @andre_rosiade @AlmaghribiS @BANGSAygSUJUD @Kimberley_2024 @Chaves1305 @Kenikir27 @G0mb4k @askencana jokowi naik jakarta koalisi sama prabowo, blom selesai jabat d jakarta dah berani lawan prabowo, bahkan prabowo kalah 2x, gada tuh narasi gini wkwk",NEGATIF
@cobeh2022 Pasti pelapor orang yang sangat dungu Prabowo sendiri yang menghinakan diri sendiri,NEGATIF
"@UmarSyadatHsb__ @bawaslu_RI Ada si agum,wiranto....dulu mereka selalu mencerca prabowo pengkhianat ..lhaa sekarang mereka milih prabowo.....aneh ...",NEGATIF
"Pak Prabowo bisa jadi guru nih, kelas Etika 101: Jabat Tangan for Dummies @kxnsndks https://t.co/omysqlticl",POSITIF
"@zy_zy_its_me 🤣 🤣 🤣 Anies itu di pilih dulu 2016 krn elektabilitasnya bagus dianggap bisa lawan ahok, prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih, jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh.",NEGATIF
Bahkan kebijakan makan siang gratis bagi siswa disertai dengan pemberian buku gratis transportasi gratis dan uang sekolah gratis untuk menunjang pendidikan siswa agar lebih berkualitas. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,POSITIF
"Ngakunya riang gembira, tapi apa2 :  ✅️ Capresnya marah2 ✅️ Suka Intimidasi ✅️ Baperan ✅️ Suka lapor-lapor ✅️ Ngambek kalo kalah debat  Udah gue bilang, Prabowo is Prabowo  Termasuk pendukungnya, begitu kalian dukung Prabowo, kalian auto pemarah dan baperan 🤣",NEGATIF
@yusufagro @aniesbaswedan @prabowo @AgusYudhoyono @alextham878 @AlmaghribiS @andre_rosiade @Gerindra @BANGSAygSUJUD @Kimberley_2024 @Chaves1305 @G0mb4k @Papa_Brewook Sy slalu dukung prabowo jd capres tiap pemilu....yg jd presiden biar yg lain aja,NEGATIF
Keberanian anak muda!   dan semangat juang lainnya bergandengan tangan bersama Prabowo untuk Indonesia yang lebih maju #02UntukPersatuan Dukungan  UntukPrabowo https://t.co/j7j8q7XhpR,POSITIF
@kompascom faktanya pak prabowo capres yang paling peduli dengan rakyat kecil,NEGATIF
"Terus maju, terus sejahtera dan terus sehat bersama Prabowo Gibran.",POSITIF
@are_inismyname @prabowo @99propaganda @bengkeldodo @P4P4B0W0_2024 @alextham878 @Ndons_Back @Alie_Fahnoor @Bank_Joee_ @florieliciouss @Kimberley_2024 @KhoirilAnwar_ Seorang pelanggar HAM bilang gini wkwkkw kemana aja orang orang yang jadi korban juga udah ga bisa kembali,NEGATIF
@fadlizon @prabowo @Gerindra calon pemimpin langka yg perlu dijaga dan dilestarikan adanya nih,POSITIF
@habiburokhman @prabowo @gibran_tweet Kita lihat aj nanti bisa menang g lu di kampung susukan yg termasuk https://t.co/LRm4UEpMqJ.rambutan... G akan menang lu...,NEGATIF
"@Ana_abdullah85 @MichelAdam7__ @prabowo Gak tau malu, 4x maju 4x juga jadi ayam sayur",NEGATIF
@P4P4B0W0_2024 @prabowo @aniesbaswedan @ganjarpranowo @gibran_tweet @99propaganda @AndreasSolusi @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @florieliciouss @are_inismyname @kurawa @seeksixsuck Kon nulis opo???,NEGATIF
@Gerindra @prabowo Anak muda pasti mendukung mashm Gibran dong yang terbaik,POSITIF
"@ch_chotimah2 @prabowo @gibran_tweet Saya bukan pendukung 02, ttp saya tidak ingin punya pemimpin yg suka bohong.   https://t.co/d6qieK3Ugs",NEGATIF
