full_text,Label
"@awemany Sederhana koq, bgmn perasaan pak Prabowo ttg keputusan MK yg oleh  MKMK bhw ketua MK-paman Ghibran-divonis pelanggaran etika berat shg diberhentikan. Tak perlu analisa. Ditanya perasaan koq.",NEGATIF
@putri_Aalona Lha fakta lho.. Prabowo kan udh tua udah bau tanah.. Hidupnya sdh dapat bonus kehidupan.. Makanya joged mulu emang bisa joget urus negara menuju Indonesia maju. Bohonggggg.,NEGATIF
@Retnonin8Endang @PartaiSocmed Prabowo tak punya takdir sebagai Presiden Indonesia. Siapa pun presiden Indonesia 2024 yg pasti bukan Prabowo!,NEGATIF
@Ja99ung_Manies Kalau melihat tren Prabowo-Gibran ini mah insyaAllah pasti menang hehe,POSITIF
"kalah telak dari Ganjar-Mahfud di Jawa Tengah, pasca deklarasi angka cenderung naik dari 10,7% jadi 24,6%. Ada kenaikan elektabilitas Prabowo-Gibran di teritori Jawa Tengah, ujar dia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",POSITIF
@tempodotco Pa Jokowi presiden yang sangat tegas jelas akan membangun IKN bersama mas Gibran dan pak Prabowo,POSITIF
@pro_gibran_ Semakin yakin jika prabowo gibran akan menang satu putaran dan pasangan ini akan benar benar jujur dalam berkontestasi,POSITIF
@Bambangmulyonoo Perputaran kepemimpinan orang besar Indonesia: Soekarno - Suharto Megawati - Yudhoyono Joko Widodo - Prabowo Ini hukum alam.!!!!!!!,POSITIF
"Laporkan Anies ke Bawaslu, Kubu Prabowo Keliru serta Prematur  https://t.co/vuyeX1JG0a https://t.co/8VIRCnOcmV",NEGATIF
"@sembarangbliau @_siaul Isu basi lagi yang di naikin, masalah ML lagi, lah orang mas @gibran_tweet jadi rebutan dan Mak banteng juga sudah bilang menunggu keputusan MK, lah giliran udah di putuskan dan gabung ke Prabowo kok bilang anak haram konstitusi, masalah HAM apalagi, isu setiap 5 tahunan doang",POSITIF
"@keuangannews_id Design pilpres curang  @prabowo dan @jokowi mengidap pos post power syndrome , satunya #uratmalu nya putus menghadapi kalah ke 4 kalinya , satunya tidak siap jadi kutu kupret"" kata @SBYudhoyono krn kebohonga2nya Terbukti  , IKN akan mangkrak , 2 anaknya dilaporkan  ke @KPK_RI ..""",NEGATIF
"@Hasbil_Lbs @aniesbaswedan @prabowo Sya tuh ngebayangin, klo nanti Prabroro gagal maning: Apa segerbong Partai Mercy ga kejang² ya ?! Klo kalah: Paling banter kadernya jd wamen (disana kn jd anak bawang)! Ksian ga si...😜🤭",NEGATIF
@pangestimira Michael ungkap kita dukung Prabowo-Gibran di Pilpres 2024. Nomor urut dua yuk maju bareng menuju Indonesia Maju! dekade08,POSITIF
@antaranews @prabowo @gibran_tweet emang gagasan kalian apa? Joget2 sm ngomong fitnah doang?,NEGATIF
@Yurissa_Samosir @AdeDhani9 @AlbertKusen11 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @mustafaagus007 @MuhiqR @choymarkochoy @Harywaraz Kapok milih Prabowo...kalah terus,NEGATIF
"@geloraco Ketegasan Pak Prabowo itu kayak pegas, kuat tapi tetap fleksibel.",POSITIF
@dhemit_is_back Pastinya digoreng kalau pasangan prabowo atau ganjar 😂😂😂,NEGATIF
