created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 21 23:51:23 +0000 2023;1727112501014544870;"@Ridyans @CNNIndonesia sebaliknya. bodoh bgt ngelesnya. jelas2 acara itu dukungan prabowo gibran.";0;0;0;0;in;1603639090293125121;1726813228871893201;SunGoKhonk;https://twitter.com/SunGoKhonk/status/1727112501014544870
Tue Nov 21 23:51:05 +0000 2023;1727112427786162403;"@MauritsAlberth @Dennysiregar7 Lugu amat nih bocah..... Jadi itu para kades urunan duit tuk nyewa gedung, datang dari pelosok desa ke Jakarta dg duit sendiri, terus ngirim undangan ke Prabowo Gibran tuk acara yg cuma sebentar, kemudian balik lg dg duit sendiri..!!??? 🙄🤔 Lugu boleh saja, tapi jangan goblok.";0;0;0;0;in;2549586138;1726797740204552309;Samlawi_84;https://twitter.com/Samlawi_84/status/1727112427786162403
Tue Nov 21 23:46:25 +0000 2023;1727111250797326405;"@LOVE_UM4M4 @prabowo @gibran_tweet Menuduh orang lain jahat krn membela yg jahat namanya jahat";0;0;0;0;in;76015889;1726815592446062760;irpansire;https://twitter.com/irpansire/status/1727111250797326405
Tue Nov 21 23:43:10 +0000 2023;1727110433050648789;"@Gus_Raharjo yaaa panik lah pak Prabowo takut malu klu gagal sampai 3x , mngknya ngaku" prestasi orang";0;0;0;0;in;1707429289354985473;1726844319905329311;kesyakesyaa77;https://twitter.com/kesyakesyaa77/status/1727110433050648789
Tue Nov 21 23:42:55 +0000 2023;1727110370937155766;"Prabowo pelanggar HAM";0;0;0;0;in;1618289154051428352;1727110149788324207;Oppossiteeeee;https://twitter.com/Oppossiteeeee/status/1727110370937155766
Tue Nov 21 23:38:58 +0000 2023;1727109378967511178;"@Reiza_Patters @kanal Loh...loh... Enggak bahaya tah...? Masak Paslon 2 Prabowo-Gibran mencatut nama pesantren?  Dahulukan adab dan etika, gunakan cara-cara yg baik dan diridhoi oleh pemilik semesta.";0;0;0;2;in;1603768816189988865;1726978380988653975;rangkutifuat;https://twitter.com/rangkutifuat/status/1727109378967511178
Tue Nov 21 23:36:18 +0000 2023;1727108704833810604;"@BosPurwa Ngeri kali bah ...@habiburokhman ...semoga aja Prabowo Kalah, mau jadi diktator dikit2 lapor 😅😂";0;0;1;8;in;1593150876167770113;1726995119449219377;KhendyManggala_;https://twitter.com/KhendyManggala_/status/1727108704833810604
Tue Nov 21 23:24:31 +0000 2023;1727105740593299788;"@variztelrooy @AdorkableRacer Ternyata malahan JK. Ehh orang didalam Pemerintahan juga yang bikin rese wkwkwk. Itu kebongkar setelah Zulhas pidato n ucapkan terimakasih kepada JK karna kalo bukan karna dia last minute pengaruhi Prabowo. Gaakan Anies maju, n Sandi sama Mardani yang maju n udah pasti kalah";0;0;0;2;in;2862109627;1726577784586396050;FelixSGL1;https://twitter.com/FelixSGL1/status/1727105740593299788
Tue Nov 21 23:23:20 +0000 2023;1727105442311286802;"@Mayapada0812 Mantan ga ada yg seru. Namanya juga mantan... gak punya kekuatan. Di kubu Ganjar ada mantan Presiden. Di kubu Prabowo, malah ada Presiden dan mantan presiden, 😂😂cuma mantan pimpinan kpk. Yg satu pengacara kalah mulu, yg satu buka podcast..  😁";0;3;0;1;in;1602675952768544768;1726965293438976269;BH4RATA_JA;https://twitter.com/BH4RATA_JA/status/1727105442311286802
Tue Nov 21 23:21:42 +0000 2023;1727105032930357606;"@bawaslu_RI  @kpu_ri  Seharusnya diskualifikasi pasangan Prabowo Gibran karena sudah melanggar Etika dan Moral serta melanggar Aturan Pemilu Perangkat Desa tidak boleh dukung salah satu paslon harus NETRAL https://t.co/AKOF4eyFq9";0;0;0;0;in;886899169314488320;1727105032930357606;Mohamad41967776;https://twitter.com/Mohamad41967776/status/1727105032930357606
