"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1729760809931465039","Wed Nov 29 23:59:51 +0000 2023","0","@jokowi Harapan sy semoga siapapun presiden terpilih tetap melanjutkan pembangunan IKN. Yakinkah pak Jokowi bahwa Prabowo yg diendors itu dapat bapak kendalikan tuk tetap melanjutkan IKN? Kwartir aja pak. Jangan2 bapak sedang dikadlin moga tidak.","1730013736935768540","","jokowi","in","","0","0","0","https://twitter.com/Cohen_ilik/status/1730013736935768540","1723313785560330241","Cohen_ilik"
"1112546208554221568","Wed Nov 29 23:59:43 +0000 2023","1","@Indonesiaguyub @Uki23 @prabowo Resiko olitikus amatiran hanya jd bola tendang baginda raja","1730013702722855169","","Indonesiaguyub","in","","0","0","0","https://twitter.com/khalizya/status/1730013702722855169","1595761241720786945","khalizya"
"1112546208554221568","Wed Nov 29 23:59:28 +0000 2023","0","@Uki23 @prabowo Demi Tuhan ... Tuhannya pun dia gadaikan sekarang demi Prabowo.","1730013638302601246","","Uki23","in","","0","0","0","https://twitter.com/HasantiPutraGea/status/1730013638302601246","217753949","HasantiPutraGea"
"1729832955126886672","Wed Nov 29 23:58:53 +0000 2023","0","@tempodotco era Prabowo Indonesia bebas stunting","1730013491984236996","","tempodotco","in","","0","1","0","https://twitter.com/RMardoyok79321/status/1730013491984236996","1728972704223764480","RMardoyok79321"
"1729718931383058701","Wed Nov 29 23:58:48 +0000 2023","0","@Gus_Raharjo Kita semua pasti sudah bisa membayangkan nasib bangsa dan negara ini kalau dipimpin seperti Prabowo ini","1730013473399279998","","Gus_Raharjo","in","","0","0","0","https://twitter.com/pipieoo6/status/1730013473399279998","1660670452879220736","pipieoo6"
"1729652171434541424","Wed Nov 29 23:58:47 +0000 2023","0","@RcyberProj0 @prabowo @gibran_tweet @Projo_Pusat Kirain ribuan/jutaan","1730013466474463432","","RcyberProj0","in","","0","0","0","https://twitter.com/iman388890182/status/1730013466474463432","1577645227220746240","iman388890182"
"1729999876405272713","Wed Nov 29 23:58:15 +0000 2023","0","@Gerindra @prabowo Selamat pagi mindra","1730013335364726850","","Gerindra","in","solihul belah kidul","0","0","0","https://twitter.com/Pramoediya2/status/1730013335364726850","1375117434009493505","Pramoediya2"
"1729777612720079263","Wed Nov 29 23:57:51 +0000 2023","0","@VIVAcoid Haajaaaaarr gus.. Sukse buat pak @prabowo das mas @gibran_tweet","1730013234277896599","","VIVAcoid","in","","0","0","0","https://twitter.com/JoseMou82/status/1730013234277896599","1537456169769349121","JoseMou82"
"1729696379579089074","Wed Nov 29 23:57:51 +0000 2023","0","@TeddGus @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Prabowo gibran sibuk ngumpet takut d ajak debat publik awokwokwok","1730013231031422980","","TeddGus","in","Taipei City, Taiwan","0","0","0","https://twitter.com/leeminhogita/status/1730013231031422980","1713906605077790720","leeminhogita"
"1729790677607698840","Wed Nov 29 23:57:50 +0000 2023","0","@seeksixsuck prabowo tetep tukang culik bengis. korbannya jg disiksa lho. digebukin disetrum. tanya aja @faisolRI atau @nezarpatria. konon bbrp belum kembali. kasian orang tua korbannya. ","1730013230263931090","","seeksixsuck","in","di Palung Terdalam","0","0","0","https://twitter.com/AwangSancaka/status/1730013230263931090","624428203","AwangSancaka"
